Time,Src Address,Src Type,Src Port,Src Name,Dst Address,Dst Type,Dst Port,Dst Name,Bytes,Packets,Action,undefined
2023-11-02T21:12:48Z,10.198.180.144,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.221.12.161,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.77.129,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.157,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.207.154.114,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.207.67.143,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.221.12.199,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.198.180.76,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.77.107,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.221.12.180,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.208.66.138,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.201.99.36,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.197.35.115,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.150.50.129,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.221.12.114,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.207.154.114,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.210.35.114,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.195,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.119,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.221.12.198,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.77.67,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.208.66.157,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.153.9,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.152.205,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.221.12.206,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.205.131.128,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.31,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.207.179.174,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.161.6.42,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.88,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.199.153.78,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.139.192.98,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.19.122,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.201.99.50,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.136,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.201.186.24,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.25,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.152.204,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.198.180.76,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.211.90.112,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.205.77.122,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.107,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.211.82.138,UnknownInternal,123,,10.249.0.21,NatGateway,123,i/face,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.184.119,UnknownInternal,123,,76,1,ACCEPT,
2023-11-02T21:12:48Z,10.249.0.21,NatGateway,123,i/face,10.199.153.180,UnknownInternal,123,,76,1,ACCEPT,
